Place,URL,Latitude,Longitude,Program,Number of Participants,Organizers        
"Granada, Spain",http://osl.ugr.es/2015/01/26/open-data-day-2015/,37.1930632,-3.5985088,Open Data Day 2015,40,OSLUGR Software Libre HQ at Grenada University
"Greenville, SC, USA",http://www.openupstate.org/home/2015/2/5/28,34.8508,-82.3985,"Collaborative Hack-a-thon with open data from anywhere (comics.org, openlibrary.org, civic data, etc).",no limits,OpenUpstate
"Guatemala, Guatemala",http://www.redciudadana.org/,14.627588,-90.537527,"Open Data Conference, Workshops and Promotion",no limit,Asociacion Civil Red Ciudadana
"Hachioji, Japan",http://everevo.com/event/19689,35.657524,139.337159,"Seminar, Ideathon",40,Code for Hachioji
"Hakodate, Hokkaido,
Japan",https://www.facebook.com/events/345931592281958/,41.841835,140.766998,"Hackathon,
Ideathon,
Speech",~40,Code for DONAN
"Hamburg, Germany",http://www.meetup.com/OK-Lab-Hamburg/events/220599738/,53.547618,9.979957,Hackday,,German Open Knowledge community and Wikipedia
"Helsinki, Finland",http://www.forumvirium.fi/en/event/open-data-day-helsinki-hackathon,60.1708,24.9375,"Short talks about Open Data and Open Development.
Intro to Open Data available in the Helsinki region, showcasing what developers have built using that data and afternoon hacking.
",60,"Forum Virium Helsinki, Microsoft, Open Knowledge Foundation Finland, HSL, Futurice, API:Suomi, Codento, Reaktor, Digile, City of Helsinki and 6Aika"
"Helsinki, Finland",http://forumvirium.fi/en/event/open-data-day-helsinki-hackathon,60.192059,24.945831,Open Data hackathon and seminar. An all day event.,65-70,"Forum Virium Helsinki and numerous partners, check the the link for the compherensive list of organizers"
"Honolulu, HI, USA",http://unconferenz.com/,21.306944,-157.858333,"Unconference, hackathon, workshops",200,"Code for Hawaii, Hawaii Open Data"
"Hyogo, Japan",http://codeforkobe-3.peatix.com/,34.691487,135.183214,Ideathon,30,CodeforHyogo
"Ikoma, Japan",http://code4ikoma.org/?q=events,34.691938,135.700537,Keynote and Ideathon,-40,"Ikoma city, CODE for IKOMA"
"Inagi, Japan",http://area.walkerplus.com/walker47/article/detail/ar0313225/le2473/19700101/2_201502152058101976/,35.63796,139.50427,Workshop,,Open Data Cafe@Inagi
"India, Hyderabad",http://swecha.org,17.436005,78.360345,Datathon and Hackathon,~50,Swecha-Free Software Movement of India
Isle of Man,http://codeclub.im/2015/02/saturday-21st-feb-open-data-day/,54.152,-4.482,"Open Data, Visualisation Tools",45,Isle of Man Code Club
"İstanbul, Turkey",http://www.verigazeteciligi.com/,39.1667,35.6667,"Open data, Data Journalism, Workshop, Seminer",20,Dağ Medya
"Iwaki, Japan",,37.05042,140.887682,,,CODE FOR IWAKI
"JAIPUR,RAJASTHAN,INIDA",htt://fossyatra.wordpress.com,26.926,74,Datathon and Hackathon,100,fossyatra
"Jakarta, Indonesia",wiki.opendataday.org/Jakarta2015,-6.1744444,106.8294444,Overpass-Turbo and OpenRefine training,14,Open Data Lab Jakarta and OpenStreetMap Indonesia
"Jena, Germany",http://www.meetup.com/OK-Lab-Jena/events/219980964/,50.922541,11.574783,Hackday,,Code for Jena
"Jersey City, NJ",http://codeforjc.org/PATHDataJam/,40.726684,-74.071289,PATH Data Jam,100,"CodeForJC, CodeForNewark"
"Kagoshima, Japan",http://kagolug.org/,31.5840447,130.5415705,"OSM mapping party
",~15,Kagoshima Linux User Group
"Kakegawa, Japan",http://opendata.shizuoka.jp/,34.7767997,138.0145688,"Keynote, Hackathon(Refuge, Traffic)",,Council of Shizuoka Open Data
"Kampala, Uganda",http://wiki.opendataday.org/Kampala2015,0.29205,32.6173,"Policy talk, Ideation, Ebola open data jam",50 - 100,"Outbox, Mountbatten, Development and training initiatives (DRT)"
"Kanazawa, Japan",http://www.codeforkanazawa.org/,36.575029,136.646853,"Keynote,  Ideason",60,Code for Kanazawa
"Karlshamn, Sweden",https://www.facebook.com/events/545971235506156/,56.164528,14.865972,Hackathon,~30,NetPort Science Park AB
"Karlshamn, Sweden",https://www.facebook.com/events/545971235506156,56.164773,14.866041,"Hackathon, Workshops",~50,NetPort Science Park
"Karlsruhe, Germany",http://www.meetup.com/OK-Lab-Karlsruhe/events/220301385/,49.006968,8.407482,"Talk program, Workshops",,Code for Karlsruhe
"Kashiwa, Japan",,35.867612,139.97585,,25,Code for Kashiwa
"Kathmandu, Nepal",http://opennepal.net/odd2015,27.712138,85.342559,"Hackathon, Talk program, Product Showcase, Mappathon",500,"Kathmandu Living Labs, Open Nepal, YoungInnovations "
"Kathmandu, Nepal","http://np.okfn.org/2015/02/16/opendataday2015/
",27.725443,85.3284831,"Presentation Session, Spending Data Party, CKAN Localization, Data Scrapathon, MakerFest, Editathon, Community Discussion",100,"Open Knowledge Nepal, FOSS Nepal Community, Mozilla Nepal, Wikimedia Nepal"
"Kawasaki-Miyamae, Japan",https://www.ourfutures.net/sessions/942,35.58936,139.578481,Marke-thon,100,G-Future Design
"Kawasaki,Japan",http://openkawasaki.connpass.com/event/11287/,35.533821,139.729236,Kawasaki Daishi Mapping and trash picking to clean the town,~50,Open Kawasaki / Code for Kawasaki / green bird kawasaki team
"Kendua, Bangladesh",https://www.facebook.com/groups/152627941462625/,24.67,90.8138,Remote Mapping,6,OSM BD Volunteers
"Khujand, Tajikistan",opendata.tj,38.577295,68.789134,"Keynote, Workshop, Hackathon",~ 80,ICT4D.TJ | OpenData.TJ
"Kimberley, South Africa",https://www.eventbrite.com/e/skahack-2016-tickets-20035511755,-28.728238,24.749911,SKA Hackathon,120,Northern Cape Provincial Government and Geekulcha
"Kimotsuki,           Kagoshima,Japan",https://www.facebook.com/events/403274543167370/,31.353658,130.938626,"Keynote, Workshops
",,Kimotsuki Center for ICT Promotion
"Kingston, Jamaica",http://developingcaribbean.org,18.00805,-76.74704,"Data extraction and visualization workshop; Datathon with environmental impact data, budget data and sports data",~20,Mona School of Business & Management / DevCA2015
"Kisumu, Kenya",http://www.opendataday.co.ke,-0.1022100,34.7617100,"Keynote,Hackathon, Lightning talks,Roundtables",,Open Institute
"Kitakyushu, Japan",https://www.facebook.com/events/530448260429701/,33.888003,130.885774,Workshop,20,Code for Kitakyushu
"Kolkata, India",http://in.okfn.org/2015/02/15/india-open-data-summit/,22.5667,88.3667,"Open Knowledge India is organizing the India Open Data Summit on February 28, 2015. This year's event is free for anyone to attend. There will be talks and workshops relating to Open Data and Information, Open Science and Research and Open Education. The thrust this year will be on creating a sustainable and viable citizen driven, crowd sourced environment for Open Data.",~200,Open Knowledge India
"Köln, Germany",http://www.meetup.com/OKLab-Koln-Meetup/events/220297556/,50.922183,6.963018,Workshop,,Code for Köln und die Stadt Köln
"Koriyama, Japan",https://codeforkoriyama.doorkeeper.jp/events/20212,37.394336,140.391151,Location game programming hands on,40,code for KORIYAMA
"Kosai, Japan",https://csod.doorkeeper.jp/events/20570,34.717702,137.545324,"Seminar, Workshop",30,Open Data Hamanako
"Kyiv, Ukraine",http://www.cityscale.com.ua/open_data_mine.htm,50.4511,30.5223,"Open Data Mining, 
Open Data Related Coding and other.",no limit,CityScale.com.ua
"Kyoto, Japan",https://crd.ndl.go.jp/jp/library/forum_11.html,34.743233,135.772004,Conference,,Kyoto NDL
"Kyoto, Japan",,35.019672,135.786771,wikipediaTOWN & OSM mapping party,50,Kyoto opendata practice group
"La Paz, Bolivia ",http://adsib.gob.bo/adsibnueva/noticiacompleta.php?codigo_noticia=Vm0wd2VFMUdiRmhTV0d4V1YwZG9XRmx0ZEhkVU1WcDFZMFprVm1KR2NIbFdWM1JMVlVaV1ZVMUVhejA9,-16.5,-68.14,Seminario: Información Pública y Datos Abiertos ,Sin limite,ADSIB / Vicepresidencia del Estado
"La Paz, Bolvia ",http://oddboliva.acm-sim.org/,-16.51336,-68.12451,"Keynote, Hackathon",~ 20,ACM-SIM
"Leipzig, Germany",http://www.meetup.com/OK-Lab-Leipzig/events/219945116/,51.342121,12.366846,Ideathon,,Code for Leipzig
"Lima, Peru",,-12.0433,-77.0867516,"Talks, workshops and hackathon",40 +,"ODPE, HHLima"
London,http://attending.io/events/open-data-day-london-2015,51.5286727,-0.1166924,Datathon and Hackathon,~80,Open Knowledge England (Rufus Pollock)
"Louisville, KY",http://www.meetup.com/Louisville-Civic-Data-Alliance/events/219829803/,38.25,-85.766667,Opening GIS building and address data for Open Street Map and the visually impared,50,"Civic Data Alliance, CfA Louisville. http://www.civicdataalliance.org/"
"Madrid, Spain",http://hackaton.okfn.es,40.410873,-3.693565,Hackathon Open Data,40,OKFN Spain + Medialab-Prado
"Madrid, Spain",http://premio.okfn.es,40.435101,-3.683164,Award ceremony,70,Open Knowledge Spain
"Maebashi, Japan",https://www.facebook.com/opendatamaebashi,36.389395,139.063443,"Workshops, Ideathon",~30,Opendata Maebashi
"Magdeburg, Germany",http://www.meetup.com/OK-Lab-Magdeburg/events/219980238/,52.119443,11.629405,Hackathon,,Code for Magdeburg
"Manila,Philippines",,13,122,Workshop and talks,~30,"Community ""Open Knowledge Philippines"" "
"Mannheim, Germany",http://oddrnh15.eu/,49.495457,8.457521,Hacktogether,,Open Data Rhein-Neckar
"Matera, Italia",http://dati.comune.matera.it/blog/?p=94,40.66692,16.60656,"Hackathon, Talk program, Product Showcase, Mappathon, GTFS Maker Tools presentation",100,Open Data Matera - Municipality Office
"Matsuyama, Japan",https://www.facebook.com/events/1618255658395764/,33.850238,132.771509,Workshop,,Code for DOGO preparatory committee
"Medellín, Colombia",,6.217,-75.567,"Presentations, talks,workshop,editathom",40-50,Fundación Gobierno Abierto Colombia
"Melbourne, Australia",http://www.codeforaustralia.org,-37.8136,144.9631,Workshop,50,Code for Australia
Mexico City,,19.412084,-99.180576,Data Expedition,60,"Centraal
Google Dev
Codeando Mexico
SocialTic
BordePolitico"
"Mikkeli, Finland",https://www.facebook.com/events/354777841391913/,61.683333,27.266667,Open data get together and workshop,10,Mikkeli University of Applied Sciences
